2025-12-13 00:00:19.800 INFO  c.x.s.SqlWorkflowApplication - Starting SqlWorkflowApplication using Java 21.0.2 with PID 48695 (/Users/xiaoxj/codes/xiaoxj/sql-workflow/target/classes started by xiaoxj in /Users/xiaoxj/codes/xiaoxj/sql-workflow)
2025-12-13 00:00:19.803 INFO  c.x.s.SqlWorkflowApplication - No active profile set, falling back to 1 default profile: "default"
2025-12-13 00:00:20.143 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-12-13 00:00:20.165 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 18 ms. Found 2 JPA repository interfaces.
2025-12-13 00:00:20.457 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 9000 (http)
2025-12-13 00:00:20.462 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-12-13 00:00:20.463 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2025-12-13 00:00:20.483 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-13 00:00:20.483 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 666 ms
2025-12-13 00:00:20.627 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-12-13 00:00:20.654 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2025-12-13 00:00:20.668 INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-12-13 00:00:20.775 INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-12-13 00:00:20.786 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-12-13 00:00:20.877 INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@24842b8e
2025-12-13 00:00:20.878 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-12-13 00:00:20.913 WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-12-13 00:00:21.261 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-12-13 00:00:21.295 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-12-13 00:00:21.453 INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-12-13 00:00:21.797 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-12-13 00:00:22.106 INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 3 endpoint(s) beneath base path '/actuator'
2025-12-13 00:00:22.147 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 9000 (http) with context path ''
2025-12-13 00:00:22.155 INFO  c.x.s.SqlWorkflowApplication - Started SqlWorkflowApplication in 2.548 seconds (process running for 2.864)
2025-12-13 00:00:22.564 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-12-13 00:00:22.564 INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-12-13 00:00:22.564 INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2025-12-13 00:00:30.084 INFO  c.x.s.scheduler.WorkflowOrchestrator - No running workflow found.
2025-12-13 00:00:30.086 INFO  c.x.s.service.WorkflowQueueService - No pending workflow found, all workflows have finished
2025-12-13 00:00:30.086 INFO  c.x.s.scheduler.WorkflowOrchestrator - All workflows have finished.
2025-12-13 00:00:45.006 INFO  c.x.s.scheduler.WorkflowOrchestrator - No running workflow found.
2025-12-13 00:00:45.009 INFO  c.x.s.service.WorkflowQueueService - No pending workflow found, all workflows have finished
2025-12-13 00:00:45.009 INFO  c.x.s.scheduler.WorkflowOrchestrator - All workflows have finished.
2025-12-13 00:01:00.066 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-12-13 00:01:00.071 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-12-13 00:01:00.082 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-12-13 00:02:24.271 INFO  c.x.s.SqlWorkflowApplication - Starting SqlWorkflowApplication using Java 21.0.2 with PID 49081 (/Users/xiaoxj/codes/xiaoxj/sql-workflow/target/classes started by xiaoxj in /Users/xiaoxj/codes/xiaoxj/sql-workflow)
2025-12-13 00:02:24.272 INFO  c.x.s.SqlWorkflowApplication - No active profile set, falling back to 1 default profile: "default"
2025-12-13 00:02:24.669 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-12-13 00:02:24.695 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 23 ms. Found 2 JPA repository interfaces.
2025-12-13 00:02:25.044 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 9000 (http)
2025-12-13 00:02:25.048 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-12-13 00:02:25.049 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2025-12-13 00:02:25.069 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-13 00:02:25.069 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 782 ms
2025-12-13 00:02:25.215 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-12-13 00:02:25.243 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2025-12-13 00:02:25.259 INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-12-13 00:02:25.402 INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-12-13 00:02:25.414 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-12-13 00:02:25.484 INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@1edac3b4
2025-12-13 00:02:25.485 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-12-13 00:02:25.513 WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-12-13 00:02:25.910 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-12-13 00:02:25.933 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-12-13 00:02:26.111 INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-12-13 00:02:26.455 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-12-13 00:02:26.793 INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 3 endpoint(s) beneath base path '/actuator'
2025-12-13 00:02:26.843 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 9000 (http) with context path ''
2025-12-13 00:02:26.852 INFO  c.x.s.SqlWorkflowApplication - Started SqlWorkflowApplication in 2.769 seconds (process running for 3.297)
2025-12-13 00:02:26.920 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-12-13 00:02:26.920 INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-12-13 00:02:26.921 INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
